Name,Creation Date,Critical System Object,Deleted,Description,Disabled,Distinguished Name,DNS Host Name,Group Membership (All),Group Membership (Direct),Group Membership (Indirect/Nested),GUID,Last Known Location,Last Logon Date,Last Logon DC,Manager,Manager Account Type,Manager Container,Manager Description,Modification Date,Operating System,Operating System Version Number,Parent Container (Reversed),Password Age (Days),Password Last Changed,Password Not Required,Primary Group,Protected From Accidental Deletion,Service Pack,Show In Advanced View Only,SID,Domain
DESKTOP-8JFN77A,29/11/2018 08:40:24,FALSE,FALSE, ,FALSE,"CN=DESKTOP-8JFN77A,OU=Desktops,OU=Carways Machines,DC=FRA,DC=com",DESKTOP-8JFN77A.FRA.com,Ordinateurs du domaine   (Builtin/Carways Groups/FRA.com),Ordinateurs du domaine   (Builtin/Carways Groups/FRA.com), ,{F6EC6337-4563-40A1-A13B-5AFA6B0F0E9B}, ,29/11/2018 08:51:30,FR-SA-DC01.FRA.com, , , , ,19/02/2019 08:45:45,Windows 10 Professionnel,10.0 (17763),FRA.com\Carways Machines\Desktops,126,29/11/2018 08:40:24,FALSE,Ordinateurs du domaine,FALSE, ,FALSE,S-1-5-21-1547701703-3085849870-3078151063-10927,FRA
DESKTOP-C0FGKLJ,14/12/2018 13:28:42,FALSE,FALSE, ,FALSE,"CN=DESKTOP-C0FGKLJ,OU=Desktops,OU=Carways Machines,DC=FRA,DC=com",DESKTOP-C0FGKLJ.FRA.com,Ordinateurs du domaine   (Builtin/Carways Groups/FRA.com),Ordinateurs du domaine   (Builtin/Carways Groups/FRA.com), ,{33725FF8-1434-433C-9506-EAD4A4C73963}, ,01/09/2019 09:10:34,FR-SA-DC01.FRA.com, , , , ,19/02/2019 08:45:51,Windows 10 Professionnel,10.0 (17763),FRA.com\Carways Machines\Desktops,111,14/12/2018 13:28:42,FALSE,Ordinateurs du domaine,FALSE, ,FALSE,S-1-5-21-1547701703-3085849870-3078151063-12311,FRA
Gold_host,29/09/2015 16:22:24,TRUE,FALSE, ,FALSE,"CN=FR-SA-DC01,OU=Domain Controllers,DC=FRA,DC=com",FR-SA-DC01.FRA.com,Accès compatible pré-Windows 2000   (Builtin/FRA.com);  Contrôleurs de domaine   (Builtin/Carways Groups/FRA.com);  Éditeurs de certificats   (Builtin/Carways Groups/FRA.com);  Groupe de réplication dont le mot de passe RODC est refusé   (Builtin/Carways Groups/FRA.com);  red-auto-servers   (Machines/Carways Groups/FRA.com);  Serveurs RAS et IAS   (Builtin/Carways Groups/FRA.com),Accès compatible pré-Windows 2000   (Builtin/FRA.com);  Contrôleurs de domaine   (Builtin/Carways Groups/FRA.com);  Éditeurs de certificats   (Builtin/Carways Groups/FRA.com);  red-auto-servers   (Machines/Carways Groups/FRA.com);  Serveurs RAS et IAS   (Builtin/Carways Groups/FRA.com),Groupe de réplication dont le mot de passe RODC est refusé   (Builtin/Carways Groups/FRA.com),{4BEFA62E-80C3-4821-B750-490147EC3B49}, ,04/05/2019 09:06:07,FR-SA-DC01.FRA.com, , , , ,30/03/2019 06:35:40,Windows Server 2012 R2 Standard,6.3 (9600),FRA.com\Domain Controllers,5,30/03/2019 06:35:40,FALSE,Contrôleurs de domaine,FALSE, ,FALSE,S-1-5-21-1547701703-3085849870-3078151063-7900,FRA
FR-SA-DC02,29/09/2015 16:27:26,TRUE,FALSE, ,FALSE,"CN=FR-SA-DC02,OU=Domain Controllers,DC=FRA,DC=com",FR-SA-DC02.FRA.com,Contrôleurs de domaine   (Builtin/Carways Groups/FRA.com);  green-beta-servers   (Machines/Carways Groups/FRA.com);  Groupe de réplication dont le mot de passe RODC est refusé   (Builtin/Carways Groups/FRA.com);  Serveurs RAS et IAS   (Builtin/Carways Groups/FRA.com),Contrôleurs de domaine   (Builtin/Carways Groups/FRA.com);  green-beta-servers   (Machines/Carways Groups/FRA.com);  Serveurs RAS et IAS   (Builtin/Carways Groups/FRA.com),Groupe de réplication dont le mot de passe RODC est refusé   (Builtin/Carways Groups/FRA.com),{385C33D4-26AD-4073-8F72-B9CAE2C86E62}, ,04/05/2019 09:30:25,FR-SA-DC01.FRA.com, , , , ,03/04/2019 23:27:09,Windows Server 2012 R2 Standard,6.3 (9600),FRA.com\Domain Controllers,1,03/04/2019 23:27:09,FALSE,Contrôleurs de domaine,FALSE, ,FALSE,S-1-5-21-1547701703-3085849870-3078151063-9322,FRA
AmsAFORMA02,01/08/2018 17:23:32,FALSE,FALSE, ,FALSE,"CN=AmsAFORMA02,OU=Laptops,OU=Carways Machines,DC=FRA,DC=com",AmsAFORMA02.FRA.com,Ordinateurs du domaine   (Builtin/Carways Groups/FRA.com),Ordinateurs du domaine   (Builtin/Carways Groups/FRA.com), ,{4F1EE195-B92A-49A9-A595-EFB5B82CEA94}, ,17/09/2018 17:44:27,FR-SA-DC02.FRA.com, , , , ,17/09/2018 14:25:19,Windows 7 Professionnel,6.1 (7601),FRA.com\Carways Machines\Laptops,213,03/09/2018 11:09:15,FALSE,Ordinateurs du domaine,FALSE,Service Pack 1,FALSE,S-1-5-21-1547701703-3085849870-3078151063-10842,FRA
Amsal1632,05/04/2017 10:27:44,FALSE,FALSE, ,FALSE,"CN=Amsal1632,OU=Laptops,OU=Carways Machines,DC=FRA,DC=com",Amsal1632.FRA.com,laptops   (Machines/Carways Groups/FRA.com);  Ordinateurs du domaine   (Builtin/Carways Groups/FRA.com),laptops   (Machines/Carways Groups/FRA.com);  Ordinateurs du domaine   (Builtin/Carways Groups/FRA.com), ,{3FC1FC81-501A-4131-BF20-E8A2DC44BBE0}, ,03/02/2018 11:27:42,FR-SA-DC01.FRA.com, , , , ,02/03/2018 11:38:19,Mac OS X,10.11.6,FRA.com\Carways Machines\Laptops,398,02/03/2018 11:27:42,FALSE,Ordinateurs du domaine,FALSE, ,FALSE,S-1-5-21-1547701703-3085849870-3078151063-11261,FRA
AmsALP2475,30/07/2018 12:58:34,FALSE,FALSE, ,FALSE,"CN=AmsALP2475,OU=Laptops,OU=Carways Machines,DC=FRA,DC=com",AmsALP2475.FRA.com,Ordinateurs du domaine   (Builtin/Carways Groups/FRA.com),Ordinateurs du domaine   (Builtin/Carways Groups/FRA.com), ,{4FD41180-5471-491D-9177-AF1A0CF8A695}, ,26/12/2018 15:17:13,FR-SA-DC01.FRA.com, , , , ,26/12/2018 13:55:15,Windows 7 Professionnel,6.1 (7601),FRA.com\Carways Machines\Laptops,99,26/12/2018 13:55:15,FALSE,Ordinateurs du domaine,FALSE,Service Pack 1,FALSE,S-1-5-21-1547701703-3085849870-3078151063-10875,FRA
AmsALP2516,14/11/2018 15:45:11,FALSE,FALSE, ,FALSE,"CN=AmsALP2516,OU=Laptops,OU=Carways Machines,DC=FRA,DC=com",AmsALP2516.FRA.com,Ordinateurs du domaine   (Builtin/Carways Groups/FRA.com),Ordinateurs du domaine   (Builtin/Carways Groups/FRA.com), ,{552AA909-04F8-4993-AE1F-57033C1A043B}, ,14/11/2018 16:01:03,FR-SA-DC01.FRA.com, , , , ,14/11/2018 15:46:01,Windows 10 Professionnel,10.0 (16299),FRA.com\Carways Machines\Laptops,141,14/11/2018 15:45:11,FALSE,Ordinateurs du domaine,FALSE, ,FALSE,S-1-5-21-1547701703-3085849870-3078151063-12296,FRA
AmsALP2517,14/11/2018 12:14:32,FALSE,FALSE, ,FALSE,"CN=AmsALP2517,OU=Laptops,OU=Carways Machines,DC=FRA,DC=com",AmsALP2517.FRA.com,Ordinateurs du domaine   (Builtin/Carways Groups/FRA.com),Ordinateurs du domaine   (Builtin/Carways Groups/FRA.com), ,{F3F1DB56-70A4-4989-8B5E-593BAAB492DD}, ,14/11/2018 14:05:28,FR-SA-DC01.FRA.com, , , , ,14/11/2018 12:15:58,Windows 10 Professionnel,10.0 (16299),FRA.com\Carways Machines\Laptops,141,14/11/2018 12:14:32,FALSE,Ordinateurs du domaine,FALSE, ,FALSE,S-1-5-21-1547701703-3085849870-3078151063-10920,FRA
AmsALP2528,12/06/2018 15:19:18,FALSE,FALSE, ,FALSE,"CN=AmsALP2528,OU=Laptops,OU=Carways Machines,DC=FRA,DC=com",AmsALP2528.FRA.com,Ordinateurs du domaine   (Builtin/Carways Groups/FRA.com),Ordinateurs du domaine   (Builtin/Carways Groups/FRA.com), ,{A1159DF8-D7F8-4202-A9DC-7A752B84F75C}, ,04/05/2019 09:39:04,FR-SA-DC02.FRA.com, , , , ,04/04/2019 9:14:31,Windows 10 Professionnel,10.0 (16299),FRA.com\Carways Machines\Laptops,10,25/03/2019 08:22:20,FALSE,Ordinateurs du domaine,FALSE, ,FALSE,S-1-5-21-1547701703-3085849870-3078151063-12310,FRA
AmsALP2529,11/06/2018 15:19:18,FALSE,FALSE, ,FALSE,"CN=Amadmin!!xyzsALP2528,OU=Laptops,OU=Carways Machines,DC=FRA,DC=com",Goldhost.FRA.com,Ordinateurs du domaine   (Builtin/Carways Groups/FRA.com),Ordinateurs du domaine   (Builtin/Carways Groups/FRA.com), ,{GOLD-D7F8-4202-A9DC-7A752B84F75C}, ,04/05/2019 09:39:04,FR-SA-DC02.FRA.com, , , , ,04/04/2019 9:14:31,Windows 10 Professionnel,10.0 (16299),FRA.com\Carways Machines\Laptops,10,25/03/2019 08:22:20,FALSE,Ordinateurs du domaine,FALSE, ,FALSE,S-1-5-21-1547701703-3085849870-3078151063-12310,FRA